inventory_number	title	handle	date_text	date_iso	year_begin	year_end
1	Octrooi verleend door de Staten-Generaal betreffende  de alleenhandel ten oosten van Kaap de Goede Hoop en ten westen van de Straat  van Magallanes voor de duur van 21 jaar	http://hdl.handle.net/10648/0608f568-2f71-4f1e-968f-df40eaabcedc	1602	1602	1602	1602
2	Octrooiverlenging verleend door de Staten-Generaal  voor een periode van 21 jaar, met in het octrooi aangebrachte  veranderingen	http://hdl.handle.net/10648/c0a0d010-f235-4c7f-bc11-4fd53649f213	1622	1622	1622	1622
3	Ordonnantie van de Staten-Generaal betreffende een  aanvulling op de verlenging van het octrooi in 1622	http://hdl.handle.net/10648/22dab3f2-0370-4fa6-a274-55c1112a2ec3	1623	1623	1623	1623
4	Octrooiverlenging verleend door de Staten-Generaal  voor een periode van 25 jaar	http://hdl.handle.net/10648/71bd8115-d39d-40c3-b382-255956b51e10	1647	1647	1647	1647
5	Octrooiverlenging verleend door de Staten-Generaal tot  het jaar 1700	http://hdl.handle.net/10648/436ba461-26c0-47fd-b60a-f1fbc04df6de	1665	1665	1665	1665
6	Octrooiverlenging verleend door de Staten-Generaal  voor een periode van 40 jaar, ingaand in 1700	http://hdl.handle.net/10648/824341b8-2dad-4311-a8fd-5fb3c7c55193	1696	1696	1696	1696
7	Octrooi verleend door de Staten-Generaal in 1602, met  verlenging van 1696. Gedrukt	http://hdl.handle.net/10648/49341e01-3b7f-4163-8a13-299ca9166009				
8	Plakkaat van de Staten-Generaal tegen inbreuken op het  octrooi. Gedrukt	http://hdl.handle.net/10648/8947c9ba-364d-4f53-a36a-706c60e2cae9	1717	1717	1717	1717
9	Octrooiverlenging verleend door de Staten-Generaal.  Concept. Gedrukt	http://hdl.handle.net/10648/50739eb6-016d-49c8-8598-b4d22e8edf12	1739	1739	1739	1739
10	Extract-resoluties van de Staten van Holland en  West-Friesland betreffende het verzoek van de bewindhebbers om verlenging van  het octrooi. Gedrukt	http://hdl.handle.net/10648/088e94ac-78fb-4181-8b1f-43f9eaaa4531	1740	1740	1740	1740
11	Stukken betreffende de verlenging van het octrooi,  opgesteld door de bewindhebbers en bestemd voor de Staten-Generaal.  Gedrukt	http://hdl.handle.net/10648/adce1c47-d386-440e-9edb-306cd025de01	1740	1740	1740	1740
12	Extract-resoluties van de Staten van Holland en  West-Friesland betreffende de verlenging van het octrooi. Gedrukt	http://hdl.handle.net/10648/11828325-8d8a-4250-8d07-683a2f2f0741	1741	1741	1741	1741
13	Octrooiverlenging verleend door de Staten-Generaal  voor een periode van 12 jaar	http://hdl.handle.net/10648/e8cd4bd7-fcaf-49b8-af72-2c53e7cee9ff	1742	1742	1742	1742
14	Octrooi verleend door de Staten-Generaal, met de  verlengingen van 1700, 1740, 1742 en 1743. Gedrukt	http://hdl.handle.net/10648/76945ba4-59f6-4126-a96d-1dbb6e8e08ff				
15	Octrooi verleend door de Staten-Generaal, met de  verlengingen tot 1748. Gedrukt	http://hdl.handle.net/10648/bf578abc-6b4c-452a-9946-2640a3dbf225	1748	1748	1748	1748
16	Octrooiverlenging verleend door de Staten-Generaal,  ingaand 1755 januari 1	http://hdl.handle.net/10648/2aab6e52-b954-431f-b589-9c6572f6eeb8	1748	1748	1748	1748
17	Octrooiverlenging verleend door de Staten-Generaal  voor een periode van 20 jaar	http://hdl.handle.net/10648/106ca3db-2250-47b7-bd5d-46902b2276f5	1776	1776	1776	1776
18	Publikatie van de Staten-Generaal betreffende de  verlenging van het octrooi. Gedrukt	http://hdl.handle.net/10648/c086b9a9-dd43-4907-87b8-0c20a91b3524	1776	1776	1776	1776
19	Octrooi verleend door de Staten-Generaal inzake de  invoering van het intestaat erfrecht in de vestigingen van de VOC	http://hdl.handle.net/10648/d4563a69-2bd2-44dd-bf30-dfcc1696426b	1661	1661	1661	1661
20	Octrooi verleend door de Staten-Generaal inzake de  aanstelling van curatoren over boedels van in dienst van de VOC in Indië  overleden personen	http://hdl.handle.net/10648/2124bdad-69b5-4146-bd04-73cc573f7e80	1671	1671	1671	1671
21	Octrooi verleend door de Staten van Holland en  West-Friesland waarin een verbod uitgevaardigd op het in beslag nemen van  maandgelden van VOC-dienaren in Indië	http://hdl.handle.net/10648/e2bcdd3f-940c-49c8-8cbd-46d0eb18213e	1674	1674	1674	1674
22	Lijst van de in het archief aanwezige  octrooien	http://hdl.handle.net/10648/bc4e9ec1-c728-47fc-99dc-766eb6094a9d	[c. 1748]	1743/1753	1743	1753
23	Klad-resoluties van de Heren XVII	http://hdl.handle.net/10648/a92290dc-2b2f-49cd-b36a-ee7d139fcd5d	1616 aug. 4 - 12	1616-08-04/1616-08-12	1616	1616
24		http://hdl.handle.net/10648/04ea449d-1286-48b5-b5d5-42ea541756b5	1654 sep. 23 - 1662 dec. 23	1654-09-23/1662-12-23	1654	1662
25		http://hdl.handle.net/10648/5c349783-9552-47e2-9296-9347e4edc0d1	1663 apr. 3 - 1669 aug. 24	1663-04-03/1669-08-24	1663	1669
26		http://hdl.handle.net/10648/88e09c65-db51-4247-b2cf-2b4203a2d9fa	1670 jan. 11 - 1674 mei 12	1670-01-11/1674-05-12	1670	1674
27		http://hdl.handle.net/10648/e3d77074-035b-4806-8290-24ddd8075d3d	1674 okt. 18 - 1676 feb. 15	1674-10-18/1676-02-15	1674	1676
28		http://hdl.handle.net/10648/b943c517-31fc-44f4-a8aa-1962f12f8d69	1678 okt. 18 - 1684 dec. 11	1678-10-18/1684-12-11	1678	1684
29		http://hdl.handle.net/10648/d1a8d08d-4606-4e0f-9fbb-21025a7e4860	1685 feb. 26 - 1687 nov. 16	1685-02-26/1687-11-16	1685	1687
30		http://hdl.handle.net/10648/ef45b82a-3f97-4661-b7ce-9971ce9a3ff6	1688 mrt. 4 - 1691 juni 27	1688-03-04/1691-06-27	1688	1691
31		http://hdl.handle.net/10648/b4902aa9-e8ab-4c1d-a715-34ca0fa00822	1691 juli 24 - 1694 mrt. 11	1691-07-24/1694-03-11	1691	1694
32		http://hdl.handle.net/10648/ce9cff3d-0c67-42b1-9212-d827debd06ba	1694 aug. 9 - 1697 dec. 27	1694-08-09/1697-12-27	1694	1697
33		http://hdl.handle.net/10648/109ce41e-06e1-4a95-b5d6-774949c00729	1698 mrt. 20 - 1701 nov. 16	1698-03-20/1701-11-16	1698	1701
34		http://hdl.handle.net/10648/e20a68ef-2bed-48ef-8e39-a736e5472515	1702 feb. 13 - 1705 okt. 28	1702-02-13/1705-10-28	1702	1705
35		http://hdl.handle.net/10648/f99937b5-6af5-4ff8-9abe-9761c74336f0	1706 mrt. 2 - 1708 nov. 7	1706-03-02/1708-11-07	1706	1708
36		http://hdl.handle.net/10648/e6181da3-3f8f-4371-a187-f88e0da2ae95	1709 mrt. 28 - 1712 okt. 25	1709-03-28/1712-10-25	1709	1712
37		http://hdl.handle.net/10648/12222134-e335-4745-8844-6b157d02f02f	1713 mrt. 4 - 1717 sep. 28	1713-03-04/1717-09-28	1713	1717
38		http://hdl.handle.net/10648/c8cb05dd-e5bf-4df0-a5d5-73c51c3368b8	1716 mrt. 9 - 1719 sep. 28	1716-03-09/1719-09-28	1716	1719
39		http://hdl.handle.net/10648/8d506c44-8a93-448d-9f5e-745d3d4f4702	1720 feb. 26 - 1722 okt. 7	1720-02-26/1722-10-07	1720	1722
40		http://hdl.handle.net/10648/1217dbe6-8c43-4141-8038-e52815748815	1723 feb. 22 - 1725 sep. 28	1723-02-22/1725-09-28	1723	1725
41		http://hdl.handle.net/10648/76475ed9-84d6-4294-a1f7-0779e44c27ea	1726 feb. 25 - 1728 mei 20	1726-02-25/1728-05-20	1726	1728
42		http://hdl.handle.net/10648/b614cf56-cd12-4942-aa51-368ae6ade0dc	1728 juli 27 - 1730 feb. 24	1728-07-27/1730-02-24	1728	1730
43		http://hdl.handle.net/10648/66b2b61f-7c8d-4308-9399-db4f463c372b	1730 aug. 7 - 1731 nov. 22	1730-08-07/1731-11-22	1730	1731
44		http://hdl.handle.net/10648/34b14fb9-8f89-4366-b9f6-0f20c650f333	1732 feb. 25 - 1734 nov. 20	1732-02-25/1734-11-20	1732	1734
45		http://hdl.handle.net/10648/36b4f8da-6e7d-4e4e-a471-86016edd6f42	1735 feb. 28 - 1737 nov. 13	1735-02-28/1737-11-13	1735	1737
46		http://hdl.handle.net/10648/1cf3a7e4-a911-44de-a921-773eb4ab5b01	1738 feb. 24 - 1740 dec. 2	1738-02-24/1740-12-02	1738	1740
47		http://hdl.handle.net/10648/bafcb049-7f14-44cd-aa3a-4b85a3a7af2e	1741 feb. 27 - 1742 nov. 17	1741-02-27/1742-11-17	1741	1742
48		http://hdl.handle.net/10648/6922891c-b297-4d38-9189-abc61fed940b	1743 feb. 25 - 1744 nov. 17	1743-02-25/1744-11-17	1743	1744
49		http://hdl.handle.net/10648/d676754f-2a89-4cc5-a5a6-d2947069d06f	1745 mrt. 15 - 1746 nov. 4	1745-03-15/1746-11-04	1745	1746
50		http://hdl.handle.net/10648/b9e1ff11-4478-42c4-b684-ac67bb70394a	1747 mrt. 6 - 1748 dec. 14	1747-03-06/1748-12-14	1747	1748
51		http://hdl.handle.net/10648/b305fea3-a6af-44c9-8f49-011fa8ec93f2	1749 feb. 10 - 1750 nov. 21	1749-02-10/1750-11-21	1749	1750
52		http://hdl.handle.net/10648/dedcd39b-3e91-410e-b5e4-bf1678fa20e6	1751 mrt. 15 - 1752 okt. 6	1751-03-15/1752-10-06	1751	1752
53		http://hdl.handle.net/10648/324d59ff-7cd1-4a6a-9b8c-525f52069efa	1753 mrt. 19 - 1755 apr. 12	1753-03-19/1755-04-12	1753	1755
54		http://hdl.handle.net/10648/beefb85e-72bf-4d0a-a77d-f7098049e613	1755 okt. 6 - 1756 okt. 15	1755-10-06/1756-10-15	1755	1756
55		http://hdl.handle.net/10648/351c473f-e130-477c-bca5-630bdfa30542	1757 mrt. 14 - 1758 okt. 20	1757-03-14/1758-10-20	1757	1758
56		http://hdl.handle.net/10648/95078ca4-e50c-47b3-bf0b-c140cc8477e4	1759 mrt. 12 - 1760 okt. 15	1759-03-12/1760-10-15	1759	1760
57		http://hdl.handle.net/10648/440fc86b-084d-4e9d-8cc0-bf9dc19b1147	1761 mrt. 30 - 1762 nov. 11	1761-03-30/1762-11-11	1761	1762
58		http://hdl.handle.net/10648/ff1b5bed-aed4-4bf3-bc1e-2d5ec9e13860	1763 mrt. 14 - 1764 apr. 9	1763-03-14/1764-04-09	1763	1764
